Position,Year,Num Neighbors,Weighting,Norm,Computed Error,ESPN Error
Kicker,2014,10,uniform,l2,[ 755.2],1068.0
Kicker,2014,20,uniform,l2,[ 761.15],1068.0
Kicker,2014,30,uniform,l2,[ 777.4],1068.0
Kicker,2014,40,uniform,l2,[ 776.75],1068.0
Kicker,2014,50,uniform,l2,[ 784.14],1068.0
Kicker,2014,60,uniform,l2,[ 786.65],1068.0
Kicker,2014,70,uniform,l2,[ 791.62857143],1068.0
Kicker,2014,80,uniform,l2,[ 799.45],1068.0
Kicker,2014,90,uniform,l2,[ 798.35555556],1068.0
Kicker,2014,100,uniform,l2,[ 801.02],1068.0
Kicker,2014,110,uniform,l2,[ 802.84545455],1068.0
Kicker,2014,120,uniform,l2,[ 807.44166667],1068.0
Kicker,2014,130,uniform,l2,[ 810.44615385],1068.0
Kicker,2014,140,uniform,l2,[ 815.22142857],1068.0
Kicker,2014,150,uniform,l2,[ 818.95333333],1068.0
Kicker,2014,160,uniform,l2,[ 822.35],1068.0
Kicker,2014,170,uniform,l2,[ 826.21764706],1068.0
Kicker,2014,180,uniform,l2,[ 828.02222222],1068.0
Kicker,2014,190,uniform,l2,[ 831.8],1068.0
Kicker,2014,200,uniform,l2,[ 834.91],1068.0
