Position,Year,Num Neighbors,Weighting,Norm,Computed Error,ESPN Error
Quarterback,2014,10,uniform,l2,[ 2215.7],1942.0
Quarterback,2014,20,uniform,l2,[ 2185.85],1942.0
Quarterback,2014,30,uniform,l2,[ 2178.06666667],1942.0
Quarterback,2014,40,uniform,l2,[ 2158.35],1942.0
Quarterback,2014,50,uniform,l2,[ 2142.38],1942.0
Quarterback,2014,60,uniform,l2,[ 2151.86666667],1942.0
Quarterback,2014,70,uniform,l2,[ 2153.7],1942.0
Quarterback,2014,80,uniform,l2,[ 2163.4625],1942.0
Quarterback,2014,90,uniform,l2,[ 2172.55555556],1942.0
Quarterback,2014,100,uniform,l2,[ 2177.59],1942.0
Quarterback,2014,110,uniform,l2,[ 2182.30909091],1942.0
Quarterback,2014,120,uniform,l2,[ 2189.28333333],1942.0
Quarterback,2014,130,uniform,l2,[ 2194.5],1942.0
Quarterback,2014,140,uniform,l2,[ 2206.30714286],1942.0
Quarterback,2014,150,uniform,l2,[ 2208.04666667],1942.0
Quarterback,2014,160,uniform,l2,[ 2217.15],1942.0
Quarterback,2014,170,uniform,l2,[ 2223.86470588],1942.0
Quarterback,2014,180,uniform,l2,[ 2232.71111111],1942.0
Quarterback,2014,190,uniform,l2,[ 2238.08947368],1942.0
Quarterback,2014,200,uniform,l2,[ 2239.895],1942.0
