Position,Year,Num Neighbors,Weighting,Norm,Computed Error,ESPN Error
Runningback,2014,10,uniform,l2,[ 3301.9],3272.0
Runningback,2014,20,uniform,l2,[ 3246.55],3272.0
Runningback,2014,30,uniform,l2,[ 3198.53333333],3272.0
Runningback,2014,40,uniform,l2,[ 3194.675],3272.0
Runningback,2014,50,uniform,l2,[ 3181.52],3272.0
Runningback,2014,60,uniform,l2,[ 3172.86666667],3272.0
Runningback,2014,70,uniform,l2,[ 3177.11428571],3272.0
Runningback,2014,80,uniform,l2,[ 3174.875],3272.0
Runningback,2014,90,uniform,l2,[ 3181.03333333],3272.0
Runningback,2014,100,uniform,l2,[ 3175.19],3272.0
Runningback,2014,110,uniform,l2,[ 3178.70909091],3272.0
Runningback,2014,120,uniform,l2,[ 3176.31666667],3272.0
Runningback,2014,130,uniform,l2,[ 3172.64615385],3272.0
Runningback,2014,140,uniform,l2,[ 3172.82857143],3272.0
Runningback,2014,150,uniform,l2,[ 3179.79333333],3272.0
Runningback,2014,160,uniform,l2,[ 3180.41875],3272.0
Runningback,2014,170,uniform,l2,[ 3185.51176471],3272.0
Runningback,2014,180,uniform,l2,[ 3183.51111111],3272.0
Runningback,2014,190,uniform,l2,[ 3186.52631579],3272.0
Runningback,2014,200,uniform,l2,[ 3195.345],3272.0
