Position,Year,Week,Kernel,C,Epsilon,Gamma,Norm,Computed Error,ESPN Error

** WITH 2014 DATA: varying C, gamma=7, epsilon=0.0 **
Kicker,2014,2,rbf,1,0.0,7,l2,78.89242382,129.0
Kicker,2014,3,rbf,1,0.0,7,l2,81.15575276,117.0
Kicker,2014,4,rbf,1,0.0,7,l2,66.69050702,106.0
Kicker,2014,5,rbf,1,0.0,7,l2,81.07271909,128.0
Kicker,2014,6,rbf,1,0.0,7,l2,73.95447026,110.0
Kicker,2014,7,rbf,1,0.0,7,l2,74.55304286,120.0
Kicker,2014,8,rbf,1,0.0,7,l2,78.62178612,85.0
Kicker,2014,9,rbf,1,0.0,7,l2,71.06647979,83.0
Kicker,2014,10,rbf,1,0.0,7,l2,58.36973646,72.0
Kicker,2014,11,rbf,1,0.0,7,l2,70.04573833,118.0
Kicker,2014,2,rbf,5,0.0,7,l2,78.25955488,129.0
Kicker,2014,3,rbf,5,0.0,7,l2,83.71345759,117.0
Kicker,2014,4,rbf,5,0.0,7,l2,65.20579399,106.0
Kicker,2014,5,rbf,5,0.0,7,l2,79.78671471,128.0
Kicker,2014,6,rbf,5,0.0,7,l2,77.3906588,110.0
Kicker,2014,7,rbf,5,0.0,7,l2,74.21989281,120.0
Kicker,2014,8,rbf,5,0.0,7,l2,82.1150545,85.0
Kicker,2014,9,rbf,5,0.0,7,l2,67.13086342,83.0
Kicker,2014,10,rbf,5,0.0,7,l2,57.29423327,72.0
Kicker,2014,11,rbf,5,0.0,7,l2,70.34786066,118.0
Kicker,2014,2,rbf,10,0.0,7,l2,77.55073668,129.0
Kicker,2014,3,rbf,10,0.0,7,l2,86.59364313,117.0
Kicker,2014,4,rbf,10,0.0,7,l2,65.36449781,106.0
Kicker,2014,5,rbf,10,0.0,7,l2,78.93746064,128.0
Kicker,2014,6,rbf,10,0.0,7,l2,75.88538598,110.0
Kicker,2014,7,rbf,10,0.0,7,l2,74.72056337,120.0
Kicker,2014,8,rbf,10,0.0,7,l2,80.95299472,85.0
Kicker,2014,9,rbf,10,0.0,7,l2,66.35860944,83.0
Kicker,2014,10,rbf,10,0.0,7,l2,55.24417933,72.0
Kicker,2014,11,rbf,10,0.0,7,l2,72.3281993,118.0
Kicker,2014,2,rbf,13,0.0,7,l2,77.63822915,129.0
Kicker,2014,3,rbf,13,0.0,7,l2,87.39238504,117.0
Kicker,2014,4,rbf,13,0.0,7,l2,65.94413911,106.0
Kicker,2014,5,rbf,13,0.0,7,l2,78.82445867,128.0
Kicker,2014,6,rbf,13,0.0,7,l2,75.18804755,110.0
Kicker,2014,7,rbf,13,0.0,7,l2,75.07864536,120.0
Kicker,2014,8,rbf,13,0.0,7,l2,80.12144052,85.0
Kicker,2014,9,rbf,13,0.0,7,l2,65.74561864,83.0
Kicker,2014,10,rbf,13,0.0,7,l2,55.47313921,72.0
Kicker,2014,11,rbf,13,0.0,7,l2,72.63967697,118.0
Kicker,2014,2,rbf,15,0.0,7,l2,77.70533443,129.0
Kicker,2014,3,rbf,15,0.0,7,l2,87.96976504,117.0
Kicker,2014,4,rbf,15,0.0,7,l2,66.09407412,106.0
Kicker,2014,5,rbf,15,0.0,7,l2,78.85412496,128.0
Kicker,2014,6,rbf,15,0.0,7,l2,74.96957798,110.0
Kicker,2014,7,rbf,15,0.0,7,l2,75.20957061,120.0
Kicker,2014,8,rbf,15,0.0,7,l2,79.5279238,85.0
Kicker,2014,9,rbf,15,0.0,7,l2,65.29352348,83.0
Kicker,2014,10,rbf,15,0.0,7,l2,55.80955904,72.0
Kicker,2014,11,rbf,15,0.0,7,l2,72.59002589,118.0
Kicker,2014,2,rbf,50,0.0,7,l2,79.94079956,129.0
Kicker,2014,3,rbf,50,0.0,7,l2,87.9349315,117.0
Kicker,2014,4,rbf,50,0.0,7,l2,72.71943346,106.0
Kicker,2014,5,rbf,50,0.0,7,l2,80.47177153,128.0
Kicker,2014,6,rbf,50,0.0,7,l2,74.75219105,110.0
Kicker,2014,7,rbf,50,0.0,7,l2,79.04262459,120.0
Kicker,2014,8,rbf,50,0.0,7,l2,80.76358296,85.0
Kicker,2014,9,rbf,50,0.0,7,l2,64.66926199,83.0
Kicker,2014,10,rbf,50,0.0,7,l2,57.40436166,72.0
Kicker,2014,11,rbf,50,0.0,7,l2,71.53871482,118.0
Kicker,2014,2,rbf,100,0.0,7,l2,88.34211094,129.0
Kicker,2014,3,rbf,100,0.0,7,l2,87.16896233,117.0
Kicker,2014,4,rbf,100,0.0,7,l2,78.10956526,106.0
Kicker,2014,5,rbf,100,0.0,7,l2,78.9363699,128.0
Kicker,2014,6,rbf,100,0.0,7,l2,70.73746549,110.0
Kicker,2014,7,rbf,100,0.0,7,l2,81.80571748,120.0
Kicker,2014,8,rbf,100,0.0,7,l2,82.01415432,85.0
Kicker,2014,9,rbf,100,0.0,7,l2,68.40614979,83.0
Kicker,2014,10,rbf,100,0.0,7,l2,57.85673311,72.0
Kicker,2014,11,rbf,100,0.0,7,l2,72.66920883,118.0
