Position,Year,Week,Num Neighbors,Weighting,Norm,Computed Error,ESPN Error
Quarterback,2014,2,10,uniform,l2,[ 149.4],188.0
Quarterback,2014,3,10,uniform,l2,[ 168.],227.0
Quarterback,2014,4,10,uniform,l2,[ 145.1],163.0
Quarterback,2014,5,10,uniform,l2,[ 227.1],209.0
Quarterback,2014,6,10,uniform,l2,[ 267.3],237.0
Quarterback,2014,7,10,uniform,l2,[ 231.4],197.0
Quarterback,2014,8,10,uniform,l2,[ 270.6],226.0
Quarterback,2014,9,10,uniform,l2,[ 232.4],180.0
Quarterback,2014,10,10,uniform,l2,[ 245.1],157.0
Quarterback,2014,11,10,uniform,l2,[ 279.3],158.0
Quarterback,2014,2,20,uniform,l2,[ 148.1],188.0
Quarterback,2014,3,20,uniform,l2,[ 180.8],227.0
Quarterback,2014,4,20,uniform,l2,[ 132.85],163.0
Quarterback,2014,5,20,uniform,l2,[ 240.65],209.0
Quarterback,2014,6,20,uniform,l2,[ 246.7],237.0
Quarterback,2014,7,20,uniform,l2,[ 228.55],197.0
Quarterback,2014,8,20,uniform,l2,[ 265.05],226.0
Quarterback,2014,9,20,uniform,l2,[ 233.1],180.0
Quarterback,2014,10,20,uniform,l2,[ 242.8],157.0
Quarterback,2014,11,20,uniform,l2,[ 267.25],158.0
Quarterback,2014,2,30,uniform,l2,[ 146.9],188.0
Quarterback,2014,3,30,uniform,l2,[ 174.83333333],227.0
Quarterback,2014,4,30,uniform,l2,[ 139.7],163.0
Quarterback,2014,5,30,uniform,l2,[ 230.16666667],209.0
Quarterback,2014,6,30,uniform,l2,[ 242.83333333],237.0
Quarterback,2014,7,30,uniform,l2,[ 229.16666667],197.0
Quarterback,2014,8,30,uniform,l2,[ 273.8],226.0
Quarterback,2014,9,30,uniform,l2,[ 239.73333333],180.0
Quarterback,2014,10,30,uniform,l2,[ 240.1],157.0
Quarterback,2014,11,30,uniform,l2,[ 260.83333333],158.0
Quarterback,2014,2,40,uniform,l2,[ 144.875],188.0
Quarterback,2014,3,40,uniform,l2,[ 170.4],227.0
Quarterback,2014,4,40,uniform,l2,[ 140.425],163.0
Quarterback,2014,5,40,uniform,l2,[ 221.825],209.0
Quarterback,2014,6,40,uniform,l2,[ 238.9],237.0
Quarterback,2014,7,40,uniform,l2,[ 223.25],197.0
Quarterback,2014,8,40,uniform,l2,[ 278.05],226.0
Quarterback,2014,9,40,uniform,l2,[ 232.1],180.0
Quarterback,2014,10,40,uniform,l2,[ 244.65],157.0
Quarterback,2014,11,40,uniform,l2,[ 263.875],158.0
Quarterback,2014,2,50,uniform,l2,[ 145.48],188.0
Quarterback,2014,3,50,uniform,l2,[ 171.04],227.0
Quarterback,2014,4,50,uniform,l2,[ 140.04],163.0
Quarterback,2014,5,50,uniform,l2,[ 224.9],209.0
Quarterback,2014,6,50,uniform,l2,[ 233.84],237.0
Quarterback,2014,7,50,uniform,l2,[ 217.32],197.0
Quarterback,2014,8,50,uniform,l2,[ 274.26],226.0
Quarterback,2014,9,50,uniform,l2,[ 229.5],180.0
Quarterback,2014,10,50,uniform,l2,[ 244.82],157.0
Quarterback,2014,11,50,uniform,l2,[ 261.18],158.0
Quarterback,2014,2,60,uniform,l2,[ 147.],188.0
Quarterback,2014,3,60,uniform,l2,[ 174.63333333],227.0
Quarterback,2014,4,60,uniform,l2,[ 146.8],163.0
Quarterback,2014,5,60,uniform,l2,[ 226.93333333],209.0
Quarterback,2014,6,60,uniform,l2,[ 232.1],237.0
Quarterback,2014,7,60,uniform,l2,[ 212.76666667],197.0
Quarterback,2014,8,60,uniform,l2,[ 271.78333333],226.0
Quarterback,2014,9,60,uniform,l2,[ 229.51666667],180.0
Quarterback,2014,10,60,uniform,l2,[ 246.06666667],157.0
Quarterback,2014,11,60,uniform,l2,[ 264.26666667],158.0
