Position,Year,Week,Kernel,C,Epsilon,Gamma,Norm,Computed Error,ESPN Error

** WITH 2014 DATA: varying C, gamma=7, epsilon=0.0 **
Quarterback,2014,2,rbf,0.1,0.0,7.0,l2,143.18015265,188.0
Quarterback,2014,3,rbf,0.1,0.0,7.0,l2,201.78666714,227.0
Quarterback,2014,4,rbf,0.1,0.0,7.0,l2,207.19395818,163.0
Quarterback,2014,5,rbf,0.1,0.0,7.0,l2,242.72350448,209.0
Quarterback,2014,6,rbf,0.1,0.0,7.0,l2,245.12217115,237.0
Quarterback,2014,7,rbf,0.1,0.0,7.0,l2,215.84337693,197.0
Quarterback,2014,8,rbf,0.1,0.0,7.0,l2,289.13924579,226.0
Quarterback,2014,9,rbf,0.1,0.0,7.0,l2,241.6207077,180.0
Quarterback,2014,10,rbf,0.1,0.0,7.0,l2,236.0985643,157.0
Quarterback,2014,2,rbf,1,0.0,7.0,l2,169.74661629,188.0
Quarterback,2014,3,rbf,1,0.0,7.0,l2,179.94278886,227.0
Quarterback,2014,4,rbf,1,0.0,7.0,l2,156.99314896,163.0
Quarterback,2014,5,rbf,1,0.0,7.0,l2,221.23604507,209.0
Quarterback,2014,6,rbf,1,0.0,7.0,l2,228.08312945,237.0
Quarterback,2014,7,rbf,1,0.0,7.0,l2,215.27041632,197.0
Quarterback,2014,8,rbf,1,0.0,7.0,l2,259.84991215,226.0
Quarterback,2014,9,rbf,1,0.0,7.0,l2,226.10729077,180.0
Quarterback,2014,10,rbf,1,0.0,7.0,l2,249.36945345,157.0
Quarterback,2014,2,rbf,5,0.0,7.0,l2,170.66765422,188.0
Quarterback,2014,3,rbf,5,0.0,7.0,l2,179.19335635,227.0
Quarterback,2014,4,rbf,5,0.0,7.0,l2,147.13199041,163.0
Quarterback,2014,5,rbf,5,0.0,7.0,l2,219.13797741,209.0
Quarterback,2014,6,rbf,5,0.0,7.0,l2,230.19342593,237.0
Quarterback,2014,7,rbf,5,0.0,7.0,l2,213.07673626,197.0
Quarterback,2014,8,rbf,5,0.0,7.0,l2,256.28328673,226.0
Quarterback,2014,9,rbf,5,0.0,7.0,l2,217.52565313,180.0
Quarterback,2014,10,rbf,5,0.0,7.0,l2,246.49493333,157.0
Quarterback,2014,2,rbf,10,0.0,7.0,l2,168.72502896,188.0
Quarterback,2014,3,rbf,10,0.0,7.0,l2,177.66160808,227.0
Quarterback,2014,4,rbf,10,0.0,7.0,l2,144.34913963,163.0
Quarterback,2014,5,rbf,10,0.0,7.0,l2,216.35146879,209.0
Quarterback,2014,6,rbf,10,0.0,7.0,l2,230.31677453,237.0
Quarterback,2014,7,rbf,10,0.0,7.0,l2,212.45791575,197.0
Quarterback,2014,8,rbf,10,0.0,7.0,l2,255.16379055,226.0
Quarterback,2014,9,rbf,10,0.0,7.0,l2,215.64119154,180.0
Quarterback,2014,10,rbf,10,0.0,7.0,l2,246.6624635,157.0
Quarterback,2014,2,rbf,12,0.0,7.0,l2,168.78768468,188.0
Quarterback,2014,3,rbf,12,0.0,7.0,l2,177.92250029,227.0
Quarterback,2014,4,rbf,12,0.0,7.0,l2,144.76847274,163.0
Quarterback,2014,5,rbf,12,0.0,7.0,l2,215.60682627,209.0
Quarterback,2014,6,rbf,12,0.0,7.0,l2,230.31690712,237.0
Quarterback,2014,7,rbf,12,0.0,7.0,l2,212.40148228,197.0
Quarterback,2014,8,rbf,12,0.0,7.0,l2,255.04234744,226.0
Quarterback,2014,9,rbf,12,0.0,7.0,l2,215.40712192,180.0
Quarterback,2014,10,rbf,12,0.0,7.0,l2,246.06591862,157.0
Quarterback,2014,2,rbf,13,0.0,7.0,l2,168.77989907,188.0
Quarterback,2014,3,rbf,13,0.0,7.0,l2,177.84211909,227.0
Quarterback,2014,4,rbf,13,0.0,7.0,l2,144.8992639,163.0
Quarterback,2014,5,rbf,13,0.0,7.0,l2,215.27703967,209.0
Quarterback,2014,6,rbf,13,0.0,7.0,l2,230.29668435,237.0
Quarterback,2014,7,rbf,13,0.0,7.0,l2,212.47888907,197.0
Quarterback,2014,8,rbf,13,0.0,7.0,l2,255.04553338,226.0
Quarterback,2014,9,rbf,13,0.0,7.0,l2,215.471053,180.0
Quarterback,2014,10,rbf,13,0.0,7.0,l2,246.15673988,157.0
Quarterback,2014,2,rbf,14,0.0,7.0,l2,169.12797735,188.0
Quarterback,2014,3,rbf,14,0.0,7.0,l2,177.99881329,227.0
Quarterback,2014,4,rbf,14,0.0,7.0,l2,144.9340316,163.0
Quarterback,2014,5,rbf,14,0.0,7.0,l2,215.22734483,209.0
Quarterback,2014,6,rbf,14,0.0,7.0,l2,230.16187666,237.0
Quarterback,2014,7,rbf,14,0.0,7.0,l2,212.54274517,197.0
Quarterback,2014,8,rbf,14,0.0,7.0,l2,255.29497408,226.0
Quarterback,2014,9,rbf,14,0.0,7.0,l2,215.58210913,180.0
Quarterback,2014,10,rbf,14,0.0,7.0,l2,246.19392204,157.0
Quarterback,2014,2,rbf,15,0.0,7.0,l2,169.34821087,188.0
Quarterback,2014,3,rbf,15,0.0,7.0,l2,177.99631687,227.0
Quarterback,2014,4,rbf,15,0.0,7.0,l2,144.50876755,163.0
Quarterback,2014,5,rbf,15,0.0,7.0,l2,215.26650741,209.0
Quarterback,2014,6,rbf,15,0.0,7.0,l2,230.0898681,237.0
Quarterback,2014,7,rbf,15,0.0,7.0,l2,212.60577121,197.0
Quarterback,2014,8,rbf,15,0.0,7.0,l2,255.44905705,226.0
Quarterback,2014,9,rbf,15,0.0,7.0,l2,215.61706958,180.0
Quarterback,2014,10,rbf,15,0.0,7.0,l2,246.0693813,157.0
Quarterback,2014,2,rbf,20,0.0,7.0,l2,168.45757628,188.0
Quarterback,2014,3,rbf,20,0.0,7.0,l2,178.39465864,227.0
Quarterback,2014,4,rbf,20,0.0,7.0,l2,143.67955694,163.0
Quarterback,2014,5,rbf,20,0.0,7.0,l2,215.37599017,209.0
Quarterback,2014,6,rbf,20,0.0,7.0,l2,230.25677973,237.0
Quarterback,2014,7,rbf,20,0.0,7.0,l2,212.34186007,197.0
Quarterback,2014,8,rbf,20,0.0,7.0,l2,256.5020386,226.0
Quarterback,2014,9,rbf,20,0.0,7.0,l2,215.49699797,180.0
Quarterback,2014,10,rbf,20,0.0,7.0,l2,246.95814077,157.0
Quarterback,2014,2,rbf,25,0.0,7.0,l2,168.6913696,188.0
Quarterback,2014,3,rbf,25,0.0,7.0,l2,178.66603344,227.0
Quarterback,2014,4,rbf,25,0.0,7.0,l2,144.09867991,163.0
Quarterback,2014,5,rbf,25,0.0,7.0,l2,215.240237,209.0
Quarterback,2014,6,rbf,25,0.0,7.0,l2,230.35814614,237.0
Quarterback,2014,7,rbf,25,0.0,7.0,l2,212.50290042,197.0
Quarterback,2014,8,rbf,25,0.0,7.0,l2,256.95398558,226.0
Quarterback,2014,9,rbf,25,0.0,7.0,l2,215.02662523,180.0
Quarterback,2014,10,rbf,25,0.0,7.0,l2,248.76527987,157.0
Quarterback,2014,2,rbf,50,0.0,7.0,l2,172.75235736,188.0
Quarterback,2014,3,rbf,50,0.0,7.0,l2,178.21642758,227.0
Quarterback,2014,4,rbf,50,0.0,7.0,l2,145.18243876,163.0
Quarterback,2014,5,rbf,50,0.0,7.0,l2,216.18046176,209.0
