Position,Year,Week,Num Neighbors,Weighting,Norm,Computed Error,ESPN Error
Runningback,2014,2,10,uniform,l2,[ 258.7],352.0
Runningback,2014,3,10,uniform,l2,[ 292.3],399.0
Runningback,2014,4,10,uniform,l2,[ 201.1],272.0
Runningback,2014,5,10,uniform,l2,[ 377.9],371.0
Runningback,2014,6,10,uniform,l2,[ 375.9],352.0
Runningback,2014,7,10,uniform,l2,[ 366.3],342.0
Runningback,2014,8,10,uniform,l2,[ 354.9],312.0
Runningback,2014,9,10,uniform,l2,[ 324.2],235.0
Runningback,2014,10,10,uniform,l2,[ 374.9],337.0
Runningback,2014,11,10,uniform,l2,[ 375.7],300.0
Runningback,2014,2,20,uniform,l2,[ 260.65],352.0
Runningback,2014,3,20,uniform,l2,[ 307.15],399.0
Runningback,2014,4,20,uniform,l2,[ 184.75],272.0
Runningback,2014,5,20,uniform,l2,[ 360.45],371.0
Runningback,2014,6,20,uniform,l2,[ 346.2],352.0
Runningback,2014,7,20,uniform,l2,[ 366.3],342.0
Runningback,2014,8,20,uniform,l2,[ 371.55],312.0
Runningback,2014,9,20,uniform,l2,[ 317.6],235.0
Runningback,2014,10,20,uniform,l2,[ 363.7],337.0
Runningback,2014,11,20,uniform,l2,[ 368.2],300.0
Runningback,2014,2,30,uniform,l2,[ 249.06666667],352.0
Runningback,2014,3,30,uniform,l2,[ 299.23333333],399.0
Runningback,2014,4,30,uniform,l2,[ 182.23333333],272.0
Runningback,2014,5,30,uniform,l2,[ 361.7],371.0
Runningback,2014,6,30,uniform,l2,[ 338.66666667],352.0
Runningback,2014,7,30,uniform,l2,[ 359.3],342.0
Runningback,2014,8,30,uniform,l2,[ 367.1],312.0
Runningback,2014,9,30,uniform,l2,[ 321.66666667],235.0
Runningback,2014,10,30,uniform,l2,[ 359.],337.0
Runningback,2014,11,30,uniform,l2,[ 360.56666667],300.0
Runningback,2014,2,40,uniform,l2,[ 258.575],352.0
Runningback,2014,3,40,uniform,l2,[ 298.15],399.0
Runningback,2014,4,40,uniform,l2,[ 186.275],272.0
Runningback,2014,5,40,uniform,l2,[ 352.225],371.0
Runningback,2014,6,40,uniform,l2,[ 340.725],352.0
Runningback,2014,7,40,uniform,l2,[ 363.075],342.0
Runningback,2014,8,40,uniform,l2,[ 363.225],312.0
Runningback,2014,9,40,uniform,l2,[ 311.7],235.0
Runningback,2014,10,40,uniform,l2,[ 357.375],337.0
Runningback,2014,11,40,uniform,l2,[ 363.35],300.0
Runningback,2014,2,50,uniform,l2,[ 262.3],352.0
Runningback,2014,3,50,uniform,l2,[ 290.08],399.0
Runningback,2014,4,50,uniform,l2,[ 184.4],272.0
Runningback,2014,5,50,uniform,l2,[ 344.44],371.0
Runningback,2014,6,50,uniform,l2,[ 339.2],352.0
Runningback,2014,7,50,uniform,l2,[ 358.6],342.0
Runningback,2014,8,50,uniform,l2,[ 369.58],312.0
Runningback,2014,9,50,uniform,l2,[ 312.8],235.0
Runningback,2014,10,50,uniform,l2,[ 354.1],337.0
Runningback,2014,11,50,uniform,l2,[ 366.02],300.0
Runningback,2014,2,60,uniform,l2,[ 261.03333333],352.0
Runningback,2014,3,60,uniform,l2,[ 290.35],399.0
Runningback,2014,4,60,uniform,l2,[ 182.55],272.0
Runningback,2014,5,60,uniform,l2,[ 343.3],371.0
Runningback,2014,6,60,uniform,l2,[ 338.83333333],352.0
Runningback,2014,7,60,uniform,l2,[ 355.],342.0
Runningback,2014,8,60,uniform,l2,[ 368.58333333],312.0
Runningback,2014,9,60,uniform,l2,[ 315.58333333],235.0
Runningback,2014,10,60,uniform,l2,[ 354.06666667],337.0
Runningback,2014,11,60,uniform,l2,[ 363.56666667],300.0
Runningback,2014,2,70,uniform,l2,[ 262.65714286],352.0
Runningback,2014,3,70,uniform,l2,[ 294.21428571],399.0
Runningback,2014,4,70,uniform,l2,[ 185.55714286],272.0
Runningback,2014,5,70,uniform,l2,[ 342.84285714],371.0
Runningback,2014,6,70,uniform,l2,[ 333.6],352.0
Runningback,2014,7,70,uniform,l2,[ 354.48571429],342.0
Runningback,2014,8,70,uniform,l2,[ 367.25714286],312.0
Runningback,2014,9,70,uniform,l2,[ 317.54285714],235.0
Runningback,2014,10,70,uniform,l2,[ 355.95714286],337.0
Runningback,2014,11,70,uniform,l2,[ 363.],300.0
Runningback,2014,2,80,uniform,l2,[ 262.6625],352.0
Runningback,2014,3,80,uniform,l2,[ 298.95],399.0
Runningback,2014,4,80,uniform,l2,[ 183.7],272.0
Runningback,2014,5,80,uniform,l2,[ 342.9625],371.0
Runningback,2014,6,80,uniform,l2,[ 334.4625],352.0
Runningback,2014,7,80,uniform,l2,[ 353.775],342.0
Runningback,2014,8,80,uniform,l2,[ 368.4875],312.0
Runningback,2014,9,80,uniform,l2,[ 314.3375],235.0
Runningback,2014,10,80,uniform,l2,[ 354.35],337.0
Runningback,2014,11,80,uniform,l2,[ 361.1875],300.0
Runningback,2014,2,90,uniform,l2,[ 264.11111111],352.0
Runningback,2014,3,90,uniform,l2,[ 299.3],399.0
Runningback,2014,4,90,uniform,l2,[ 184.11111111],272.0
Runningback,2014,5,90,uniform,l2,[ 345.92222222],371.0
Runningback,2014,6,90,uniform,l2,[ 336.08888889],352.0
Runningback,2014,7,90,uniform,l2,[ 353.48888889],342.0
Runningback,2014,8,90,uniform,l2,[ 367.52222222],312.0
Runningback,2014,9,90,uniform,l2,[ 315.48888889],235.0
Runningback,2014,10,90,uniform,l2,[ 351.01111111],337.0
Runningback,2014,11,90,uniform,l2,[ 363.98888889],300.0
Runningback,2014,2,100,uniform,l2,[ 263.84],352.0
Runningback,2014,3,100,uniform,l2,[ 299.68],399.0
Runningback,2014,4,100,uniform,l2,[ 185.06],272.0
Runningback,2014,5,100,uniform,l2,[ 348.07],371.0
Runningback,2014,6,100,uniform,l2,[ 331.77],352.0
Runningback,2014,7,100,uniform,l2,[ 351.66],342.0
Runningback,2014,8,100,uniform,l2,[ 369.18],312.0
Runningback,2014,9,100,uniform,l2,[ 312.7],235.0
Runningback,2014,10,100,uniform,l2,[ 350.74],337.0
Runningback,2014,11,100,uniform,l2,[ 362.49],300.0
Runningback,2014,2,110,uniform,l2,[ 265.24545455],352.0
Runningback,2014,3,110,uniform,l2,[ 300.74545455],399.0
Runningback,2014,4,110,uniform,l2,[ 186.35454545],272.0
Runningback,2014,5,110,uniform,l2,[ 347.69090909],371.0
Runningback,2014,6,110,uniform,l2,[ 332.9],352.0
Runningback,2014,7,110,uniform,l2,[ 351.73636364],342.0
Runningback,2014,8,110,uniform,l2,[ 368.31818182],312.0
Runningback,2014,9,110,uniform,l2,[ 313.],235.0
Runningback,2014,10,110,uniform,l2,[ 351.3],337.0
Runningback,2014,11,110,uniform,l2,[ 361.41818182],300.0
Runningback,2014,2,120,uniform,l2,[ 266.3],352.0
Runningback,2014,3,120,uniform,l2,[ 302.24166667],399.0
Runningback,2014,4,120,uniform,l2,[ 186.975],272.0
Runningback,2014,5,120,uniform,l2,[ 347.175],371.0
Runningback,2014,6,120,uniform,l2,[ 333.21666667],352.0
Runningback,2014,7,120,uniform,l2,[ 351.475],342.0
Runningback,2014,8,120,uniform,l2,[ 365.25],312.0
Runningback,2014,9,120,uniform,l2,[ 313.775],235.0
Runningback,2014,10,120,uniform,l2,[ 349.15],337.0
Runningback,2014,11,120,uniform,l2,[ 360.75833333],300.0
Runningback,2014,2,130,uniform,l2,[ 266.83846154],352.0
Runningback,2014,3,130,uniform,l2,[ 302.60769231],399.0
Runningback,2014,4,130,uniform,l2,[ 188.13076923],272.0
Runningback,2014,5,130,uniform,l2,[ 346.10769231],371.0
Runningback,2014,6,130,uniform,l2,[ 330.9],352.0
Runningback,2014,7,130,uniform,l2,[ 354.70769231],342.0
Runningback,2014,8,130,uniform,l2,[ 363.95384615],312.0
Runningback,2014,9,130,uniform,l2,[ 311.22307692],235.0
Runningback,2014,10,130,uniform,l2,[ 347.8],337.0
