Position,Year,Week,Kernel,C,Epsilon,Gamma,Norm,Computed Error,ESPN Error

** WITH 2014 DATA: varying C, epsilon=0.0, gamma=7 **
Runningback,2014,2,rbf,1,0.0,7.0,l2,246.82741904,352.0
Runningback,2014,3,rbf,1,0.0,7.0,l2,274.29638175,399.0
Runningback,2014,4,rbf,1,0.0,7.0,l2,199.6228218,272.0
Runningback,2014,5,rbf,1,0.0,7.0,l2,316.57235066,370.0
Runningback,2014,6,rbf,1,0.0,7.0,l2,302.35517467,349.0
Runningback,2014,7,rbf,1,0.0,7.0,l2,326.90634972,342.0
Runningback,2014,8,rbf,1,0.0,7.0,l2,327.55640072,312.0
Runningback,2014,9,rbf,1,0.0,7.0,l2,288.92748244,235.0
Runningback,2014,10,rbf,1,0.0,7.0,l2,318.27103657,337.0
Runningback,2014,2,rbf,10,0.0,7.0,l2,247.36524654,352.0
Runningback,2014,3,rbf,10,0.0,7.0,l2,274.88142151,399.0
Runningback,2014,4,rbf,10,0.0,7.0,l2,198.60018873,272.0
Runningback,2014,5,rbf,10,0.0,7.0,l2,316.45853124,370.0
Runningback,2014,6,rbf,10,0.0,7.0,l2,299.87973339,349.0
Runningback,2014,7,rbf,10,0.0,7.0,l2,330.65011369,342.0
Runningback,2014,8,rbf,10,0.0,7.0,l2,319.2759643,312.0
Runningback,2014,9,rbf,10,0.0,7.0,l2,298.10202222,235.0
Runningback,2014,10,rbf,10,0.0,7.0,l2,319.74721065,337.0
Runningback,2014,2,rbf,100,0.0,7.0,l2,244.54825868,352.0
Runningback,2014,3,rbf,100,0.0,7.0,l2,276.09568015,399.0
Runningback,2014,4,rbf,100,0.0,7.0,l2,195.88164739,272.0
Runningback,2014,5,rbf,100,0.0,7.0,l2,319.31201515,370.0
Runningback,2014,6,rbf,100,0.0,7.0,l2,307.3686909,349.0
Runningback,2014,7,rbf,100,0.0,7.0,l2,331.70065587,342.0
Runningback,2014,8,rbf,100,0.0,7.0,l2,320.78278474,312.0
Runningback,2014,9,rbf,100,0.0,7.0,l2,299.97942382,235.0
Runningback,2014,10,rbf,100,0.0,7.0,l2,320.83794775,337.0
Runningback,2014,2,rbf,1000,0.0,7.0,l2,245.62954503,352.0
Runningback,2014,3,rbf,1000,0.0,7.0,l2,288.19190365,399.0
Runningback,2014,4,rbf,1000,0.0,7.0,l2,189.18011303,272.0
Runningback,2014,5,rbf,1000,0.0,7.0,l2,321.00909082,370.0
Runningback,2014,6,rbf,1000,0.0,7.0,l2,328.3218054,349.0
Runningback,2014,7,rbf,1000,0.0,7.0,l2,336.90622919,342.0
