Position,Year,Week,Kernel,C,Epsilon,Gamma,Norm,Computed Error,ESPN Error

** WITH 2014 DATA: varying C, epsilon=0.0, gamma=7 **
Tight End,2014,2,rbf,1,0.0,7.0,l2,113.27377549,233.0
Tight End,2014,3,rbf,1,0.0,7.0,l2,151.91531633,199.0
Tight End,2014,4,rbf,1,0.0,7.0,l2,85.54733316,126.0
Tight End,2014,5,rbf,1,0.0,7.0,l2,139.80433773,195.0
Tight End,2014,6,rbf,1,0.0,7.0,l2,161.69842353,188.0
Tight End,2014,7,rbf,1,0.0,7.0,l2,152.68572027,213.0
Tight End,2014,8,rbf,1,0.0,7.0,l2,176.28489246,209.0
Tight End,2014,9,rbf,1,0.0,7.0,l2,138.71404575,166.0
Tight End,2014,10,rbf,1,0.0,7.0,l2,137.8810245,132.0
Tight End,2014,2,rbf,10,0.0,7.0,l2,102.31795295,233.0
Tight End,2014,3,rbf,10,0.0,7.0,l2,159.07992492,199.0
Tight End,2014,4,rbf,10,0.0,7.0,l2,91.55836398,126.0
Tight End,2014,5,rbf,10,0.0,7.0,l2,138.0607832,195.0
Tight End,2014,6,rbf,10,0.0,7.0,l2,161.73864795,188.0
Tight End,2014,7,rbf,10,0.0,7.0,l2,150.94615227,213.0
Tight End,2014,8,rbf,10,0.0,7.0,l2,167.96512492,209.0
Tight End,2014,9,rbf,10,0.0,7.0,l2,141.99078895,166.0
Tight End,2014,10,rbf,10,0.0,7.0,l2,135.65234927,132.0
Tight End,2014,2,rbf,50,0.0,7.0,l2,104.4127019,233.0
Tight End,2014,3,rbf,50,0.0,7.0,l2,157.68860395,199.0
Tight End,2014,4,rbf,50,0.0,7.0,l2,88.33967269,126.0
Tight End,2014,5,rbf,50,0.0,7.0,l2,140.8566825,195.0
Tight End,2014,6,rbf,50,0.0,7.0,l2,162.82324655,188.0
Tight End,2014,7,rbf,50,0.0,7.0,l2,149.21633318,213.0
Tight End,2014,8,rbf,50,0.0,7.0,l2,164.48257637,209.0
Tight End,2014,9,rbf,50,0.0,7.0,l2,142.69677371,166.0
Tight End,2014,10,rbf,50,0.0,7.0,l2,133.68437761,132.0
Tight End,2014,2,rbf,100,0.0,7.0,l2,103.99272362,233.0
Tight End,2014,3,rbf,100,0.0,7.0,l2,155.3792758,199.0
Tight End,2014,4,rbf,100,0.0,7.0,l2,86.57835281,126.0
Tight End,2014,5,rbf,100,0.0,7.0,l2,141.34174211,195.0
Tight End,2014,6,rbf,100,0.0,7.0,l2,162.3935127,188.0
Tight End,2014,7,rbf,100,0.0,7.0,l2,149.18009509,213.0
