Position,Year,Week,Num Neighbors,Weighting,Norm,Computed Error,ESPN Error
Wide Receiver,2014,2,10,uniform,l2,[ 337.4],460.0
Wide Receiver,2014,3,10,uniform,l2,[ 367.],505.0
Wide Receiver,2014,4,10,uniform,l2,[ 265.],384.0
Wide Receiver,2014,5,10,uniform,l2,[ 455.1],521.0
Wide Receiver,2014,6,10,uniform,l2,[ 501.],549.0
Wide Receiver,2014,7,10,uniform,l2,[ 483.6],443.0
Wide Receiver,2014,8,10,uniform,l2,[ 494.5],493.0
Wide Receiver,2014,9,10,uniform,l2,[ 389.9],406.0
Wide Receiver,2014,10,10,uniform,l2,[ 405.4],396.0
Wide Receiver,2014,11,10,uniform,l2,[ 410.4],394.0
Wide Receiver,2014,2,20,uniform,l2,[ 331.95],460.0
Wide Receiver,2014,3,20,uniform,l2,[ 356.5],505.0
Wide Receiver,2014,4,20,uniform,l2,[ 252.2],384.0
Wide Receiver,2014,5,20,uniform,l2,[ 466.],521.0
Wide Receiver,2014,6,20,uniform,l2,[ 481.65],549.0
Wide Receiver,2014,7,20,uniform,l2,[ 477.65],443.0
Wide Receiver,2014,8,20,uniform,l2,[ 470.55],493.0
Wide Receiver,2014,9,20,uniform,l2,[ 373.3],406.0
Wide Receiver,2014,10,20,uniform,l2,[ 428.35],396.0
Wide Receiver,2014,11,20,uniform,l2,[ 393.45],394.0
Wide Receiver,2014,2,30,uniform,l2,[ 343.83333333],460.0
Wide Receiver,2014,3,30,uniform,l2,[ 354.93333333],505.0
Wide Receiver,2014,4,30,uniform,l2,[ 250.36666667],384.0
Wide Receiver,2014,5,30,uniform,l2,[ 447.8],521.0
Wide Receiver,2014,6,30,uniform,l2,[ 478.43333333],549.0
Wide Receiver,2014,7,30,uniform,l2,[ 477.9],443.0
Wide Receiver,2014,8,30,uniform,l2,[ 463.96666667],493.0
Wide Receiver,2014,9,30,uniform,l2,[ 372.8],406.0
Wide Receiver,2014,10,30,uniform,l2,[ 426.13333333],396.0
Wide Receiver,2014,11,30,uniform,l2,[ 382.96666667],394.0
Wide Receiver,2014,2,40,uniform,l2,[ 336.125],460.0
Wide Receiver,2014,3,40,uniform,l2,[ 348.525],505.0
Wide Receiver,2014,4,40,uniform,l2,[ 262.6],384.0
Wide Receiver,2014,5,40,uniform,l2,[ 435.125],521.0
Wide Receiver,2014,6,40,uniform,l2,[ 471.575],549.0
Wide Receiver,2014,7,40,uniform,l2,[ 475.1],443.0
Wide Receiver,2014,8,40,uniform,l2,[ 463.4],493.0
Wide Receiver,2014,9,40,uniform,l2,[ 374.55],406.0
Wide Receiver,2014,10,40,uniform,l2,[ 425.275],396.0
Wide Receiver,2014,11,40,uniform,l2,[ 378.8],394.0
Wide Receiver,2014,2,50,uniform,l2,[ 333.62],460.0
Wide Receiver,2014,3,50,uniform,l2,[ 343.44],505.0
Wide Receiver,2014,4,50,uniform,l2,[ 264.8],384.0
Wide Receiver,2014,5,50,uniform,l2,[ 428.68],521.0
Wide Receiver,2014,6,50,uniform,l2,[ 465.9],549.0
Wide Receiver,2014,7,50,uniform,l2,[ 467.08],443.0
Wide Receiver,2014,8,50,uniform,l2,[ 465.54],493.0
Wide Receiver,2014,9,50,uniform,l2,[ 368.16],406.0
Wide Receiver,2014,10,50,uniform,l2,[ 423.84],396.0
Wide Receiver,2014,11,50,uniform,l2,[ 379.74],394.0
Wide Receiver,2014,2,60,uniform,l2,[ 337.],460.0
Wide Receiver,2014,3,60,uniform,l2,[ 338.1],505.0
Wide Receiver,2014,4,60,uniform,l2,[ 266.56666667],384.0
Wide Receiver,2014,5,60,uniform,l2,[ 427.73333333],521.0
Wide Receiver,2014,6,60,uniform,l2,[ 461.26666667],549.0
Wide Receiver,2014,7,60,uniform,l2,[ 469.13333333],443.0
Wide Receiver,2014,8,60,uniform,l2,[ 470.56666667],493.0
Wide Receiver,2014,9,60,uniform,l2,[ 369.63333333],406.0
Wide Receiver,2014,10,60,uniform,l2,[ 427.],396.0
Wide Receiver,2014,11,60,uniform,l2,[ 379.08333333],394.0
Wide Receiver,2014,2,70,uniform,l2,[ 338.61428571],460.0
Wide Receiver,2014,3,70,uniform,l2,[ 335.18571429],505.0
Wide Receiver,2014,4,70,uniform,l2,[ 265.95714286],384.0
Wide Receiver,2014,5,70,uniform,l2,[ 422.28571429],521.0
Wide Receiver,2014,6,70,uniform,l2,[ 456.8],549.0
Wide Receiver,2014,7,70,uniform,l2,[ 468.77142857],443.0
Wide Receiver,2014,8,70,uniform,l2,[ 470.08571429],493.0
Wide Receiver,2014,9,70,uniform,l2,[ 374.51428571],406.0
Wide Receiver,2014,10,70,uniform,l2,[ 424.01428571],396.0
Wide Receiver,2014,11,70,uniform,l2,[ 386.01428571],394.0
Wide Receiver,2014,2,80,uniform,l2,[ 331.5375],460.0
Wide Receiver,2014,3,80,uniform,l2,[ 337.4375],505.0
Wide Receiver,2014,4,80,uniform,l2,[ 264.575],384.0
