Position,Year,Week,Kernel,C,Epsilon,Gamma,Norm,Computed Error,ESPN Error

** ONLY 2013 DATA (for training): varying C **
Wide Receiver,2014,1,rbf,1,0.0,0.0,l2,138.52009,441.0
Wide Receiver,2014,2,rbf,1,0.0,0.0,l2,307.09979213,460.0
Wide Receiver,2014,3,rbf,1,0.0,0.0,l2,366.29133517,505.0
Wide Receiver,2014,4,rbf,1,0.0,0.0,l2,295.70125942,384.0
Wide Receiver,2014,5,rbf,1,0.0,0.0,l2,395.22360702,521.0
Wide Receiver,2014,6,rbf,1,0.0,0.0,l2,456.85351211,549.0
Wide Receiver,2014,7,rbf,1,0.0,0.0,l2,435.18250529,443.0
Wide Receiver,2014,8,rbf,1,0.0,0.0,l2,449.44990235,493.0
Wide Receiver,2014,9,rbf,1,0.0,0.0,l2,357.35324434,406.0
Wide Receiver,2014,10,rbf,1,0.0,0.0,l2,385.12247391,396.0
Wide Receiver,2014,1,rbf,10,0.0,0.0,l2,77.90060912,441.0
Wide Receiver,2014,2,rbf,10,0.0,0.0,l2,303.72218626,460.0
Wide Receiver,2014,3,rbf,10,0.0,0.0,l2,337.07925855,505.0
Wide Receiver,2014,4,rbf,10,0.0,0.0,l2,267.961402,384.0
Wide Receiver,2014,5,rbf,10,0.0,0.0,l2,380.65302478,521.0
Wide Receiver,2014,6,rbf,10,0.0,0.0,l2,444.17005427,549.0
Wide Receiver,2014,7,rbf,10,0.0,0.0,l2,428.08852303,443.0
Wide Receiver,2014,8,rbf,10,0.0,0.0,l2,435.78728171,493.0
Wide Receiver,2014,9,rbf,10,0.0,0.0,l2,341.58027989,406.0
Wide Receiver,2014,10,rbf,10,0.0,0.0,l2,383.98238278,396.0
Wide Receiver,2014,1,rbf,100,0.0,0.0,l2,127.84236032,441.0
Wide Receiver,2014,2,rbf,100,0.0,0.0,l2,321.83174687,460.0
Wide Receiver,2014,3,rbf,100,0.0,0.0,l2,326.11290124,505.0
Wide Receiver,2014,4,rbf,100,0.0,0.0,l2,263.60910771,384.0
Wide Receiver,2014,5,rbf,100,0.0,0.0,l2,394.73905945,521.0
Wide Receiver,2014,6,rbf,100,0.0,0.0,l2,450.31366671,549.0
Wide Receiver,2014,7,rbf,100,0.0,0.0,l2,430.92856993,443.0
Wide Receiver,2014,8,rbf,100,0.0,0.0,l2,421.72600373,493.0
Wide Receiver,2014,9,rbf,100,0.0,0.0,l2,335.14534088,406.0
Wide Receiver,2014,10,rbf,100,0.0,0.0,l2,387.80046884,396.0
Wide Receiver,2014,1,rbf,1000,0.0,0.0,l2,135.23062223,441.0
Wide Receiver,2014,2,rbf,1000,0.0,0.0,l2,309.436441,460.0
