Position,Year,Num Neighbors,Weighting,Norm,Computed Error,ESPN Error
Wide Receiver,2014,10,uniform,l2,4213.2,4157.0
Wide Receiver,2014,20,uniform,l2,4315.35,4157.0
Wide Receiver,2014,30,uniform,l2,4327.36666667,4157.0
Wide Receiver,2014,40,uniform,l2,4376.575,4157.0
Wide Receiver,2014,50,uniform,l2,4380.72,4157.0
Wide Receiver,2014,60,uniform,l2,4392.78333333,4157.0
Wide Receiver,2014,70,uniform,l2,4384.5,4157.0
Wide Receiver,2014,80,uniform,l2,4395.125,4157.0
Wide Receiver,2014,90,uniform,l2,4399.82222222,4157.0
Wide Receiver,2014,100,uniform,l2,4399.78,4157.0
Wide Receiver,2014,110,uniform,l2,4398.45454545,4157.0
Wide Receiver,2014,120,uniform,l2,4401.41666667,4157.0
Wide Receiver,2014,130,uniform,l2,4406.8,4157.0
Wide Receiver,2014,140,uniform,l2,4418.17857143,4157.0
Wide Receiver,2014,150,uniform,l2,4419.11333333,4157.0
Wide Receiver,2014,10,uniform,l1,4212.5,4157.0
Wide Receiver,2014,20,uniform,l1,4310.75,4157.0
Wide Receiver,2014,30,uniform,l1,4327.26666667,4157.0
Wide Receiver,2014,40,uniform,l1,4361.5,4157.0
Wide Receiver,2014,50,uniform,l1,4387.94,4157.0
Wide Receiver,2014,60,uniform,l1,4394.65,4157.0
Wide Receiver,2014,70,uniform,l1,4386.25714286,4157.0
Wide Receiver,2014,80,uniform,l1,4392.875,4157.0
Wide Receiver,2014,90,uniform,l1,4390.84444444,4157.0
Wide Receiver,2014,100,uniform,l1,4404.75,4157.0
Wide Receiver,2014,110,uniform,l1,4408.44545455,4157.0
Wide Receiver,2014,120,uniform,l1,4408.68333333,4157.0
Wide Receiver,2014,130,uniform,l1,4421.,4157.0
Wide Receiver,2014,140,uniform,l1,4425.43571429,4157.0
Wide Receiver,2014,150,uniform,l1,4427.66666667,4157.0
Wide Receiver,2014,10,distance,l2,4204.00882136,4157.0
Wide Receiver,2014,20,distance,l2,4308.59020425,4157.0
Wide Receiver,2014,30,distance,l2,4322.3449012,4157.0
Wide Receiver,2014,40,distance,l2,4371.23562673,4157.0
Wide Receiver,2014,50,distance,l2,4375.93408619,4157.0
Wide Receiver,2014,60,distance,l2,4388.12576878,4157.0
Wide Receiver,2014,70,distance,l2,4380.68210935,4157.0
Wide Receiver,2014,80,distance,l2,4391.49767803,4157.0
Wide Receiver,2014,90,distance,l2,4396.45301436,4157.0
Wide Receiver,2014,100,distance,l2,4396.74492862,4157.0
Wide Receiver,2014,110,distance,l2,4395.76765781,4157.0
Wide Receiver,2014,120,distance,l2,4398.87660129,4157.0
Wide Receiver,2014,130,distance,l2,4404.15649019,4157.0
Wide Receiver,2014,140,distance,l2,4415.0874636,4157.0
Wide Receiver,2014,150,distance,l2,4416.00044652,4157.0
Wide Receiver,2014,20,distance,l1,4306.14137087,4157.0
Wide Receiver,2014,30,distance,l1,4323.70125969,4157.0
Wide Receiver,2014,40,distance,l1,4357.93573101,4157.0
Wide Receiver,2014,50,distance,l1,4384.32268205,4157.0
Wide Receiver,2014,60,distance,l1,4391.39440355,4157.0
Wide Receiver,2014,70,distance,l1,4383.54461932,4157.0
Wide Receiver,2014,80,distance,l1,4390.39917822,4157.0
Wide Receiver,2014,90,distance,l1,4388.61349399,4157.0
Wide Receiver,2014,100,distance,l1,4402.43338377,4157.0
Wide Receiver,2014,110,distance,l1,4406.19216024,4157.0
Wide Receiver,2014,120,distance,l1,4406.64592948,4157.0
Wide Receiver,2014,130,distance,l1,4418.81489764,4157.0
Wide Receiver,2014,140,distance,l1,4423.10406185,4157.0
Wide Receiver,2014,150,distance,l1,4425.3679995,4157.0
