Position,Year,Week,Num Neighbors,Weighting,Norm,Computed Error,ESPN Error
Wide Receiver,2014,2,10,uniform,l2,483.3,460.0
Wide Receiver,2014,3,10,uniform,l2,484.3,505.0
Wide Receiver,2014,4,10,uniform,l2,327.3,384.0
Wide Receiver,2014,5,10,uniform,l2,475.4,521.0
Wide Receiver,2014,6,10,uniform,l2,571.7,549.0
Wide Receiver,2014,7,10,uniform,l2,530.8,443.0
Wide Receiver,2014,8,10,uniform,l2,524.1,493.0
Wide Receiver,2014,9,10,uniform,l2,375.4,406.0
Wide Receiver,2014,10,10,uniform,l2,440.9,396.0
Wide Receiver,2014,2,20,uniform,l2,476.1,460.0
Wide Receiver,2014,3,20,uniform,l2,498.3,505.0
Wide Receiver,2014,4,20,uniform,l2,328.8,384.0
Wide Receiver,2014,5,20,uniform,l2,497.15,521.0
Wide Receiver,2014,6,20,uniform,l2,575.65,549.0
Wide Receiver,2014,7,20,uniform,l2,533.55,443.0
Wide Receiver,2014,8,20,uniform,l2,518.25,493.0
Wide Receiver,2014,9,20,uniform,l2,428.95,406.0
Wide Receiver,2014,10,20,uniform,l2,458.6,396.0
Wide Receiver,2014,2,30,uniform,l2,481.66666667,460.0
Wide Receiver,2014,3,30,uniform,l2,505.93333333,505.0
Wide Receiver,2014,4,30,uniform,l2,328.83333333,384.0
Wide Receiver,2014,5,30,uniform,l2,505.36666667,521.0
Wide Receiver,2014,6,30,uniform,l2,569.46666667,549.0
Wide Receiver,2014,7,30,uniform,l2,528.1,443.0
Wide Receiver,2014,8,30,uniform,l2,511.36666667,493.0
Wide Receiver,2014,9,30,uniform,l2,422.6,406.0
Wide Receiver,2014,10,30,uniform,l2,474.03333333,396.0
Wide Receiver,2014,2,40,uniform,l2,490.325,460.0
Wide Receiver,2014,3,40,uniform,l2,509.95,505.0
Wide Receiver,2014,4,40,uniform,l2,330.725,384.0
Wide Receiver,2014,5,40,uniform,l2,499.95,521.0
Wide Receiver,2014,6,40,uniform,l2,570.775,549.0
Wide Receiver,2014,7,40,uniform,l2,538.7,443.0
Wide Receiver,2014,8,40,uniform,l2,530.35,493.0
Wide Receiver,2014,9,40,uniform,l2,428.35,406.0
Wide Receiver,2014,10,40,uniform,l2,477.45,396.0
Wide Receiver,2014,2,50,uniform,l2,493.52,460.0
Wide Receiver,2014,3,50,uniform,l2,510.58,505.0
Wide Receiver,2014,4,50,uniform,l2,328.58,384.0
Wide Receiver,2014,5,50,uniform,l2,501.48,521.0
Wide Receiver,2014,6,50,uniform,l2,563.62,549.0
Wide Receiver,2014,7,50,uniform,l2,540.96,443.0
Wide Receiver,2014,8,50,uniform,l2,537.7,493.0
Wide Receiver,2014,9,50,uniform,l2,432.52,406.0
Wide Receiver,2014,10,50,uniform,l2,471.76,396.0
Wide Receiver,2014,2,60,uniform,l2,497.91666667,460.0
Wide Receiver,2014,3,60,uniform,l2,514.05,505.0
Wide Receiver,2014,4,60,uniform,l2,328.85,384.0
Wide Receiver,2014,5,60,uniform,l2,498.53333333,521.0
Wide Receiver,2014,6,60,uniform,l2,567.7,549.0
Wide Receiver,2014,7,60,uniform,l2,540.85,443.0
Wide Receiver,2014,8,60,uniform,l2,538.23333333,493.0
Wide Receiver,2014,9,60,uniform,l2,434.11666667,406.0
Wide Receiver,2014,10,60,uniform,l2,472.53333333,396.0
Wide Receiver,2014,2,70,uniform,l2,500.47142857,460.0
Wide Receiver,2014,3,70,uniform,l2,512.28571429,505.0
Wide Receiver,2014,4,70,uniform,l2,326.37142857,384.0
Wide Receiver,2014,5,70,uniform,l2,494.24285714,521.0
Wide Receiver,2014,6,70,uniform,l2,567.74285714,549.0
Wide Receiver,2014,7,70,uniform,l2,541.55714286,443.0
Wide Receiver,2014,8,70,uniform,l2,536.38571429,493.0
Wide Receiver,2014,9,70,uniform,l2,434.,406.0
Wide Receiver,2014,10,70,uniform,l2,471.44285714,396.0
Wide Receiver,2014,2,80,uniform,l2,501.35,460.0
Wide Receiver,2014,3,80,uniform,l2,515.675,505.0
Wide Receiver,2014,4,80,uniform,l2,324.4375,384.0
Wide Receiver,2014,5,80,uniform,l2,494.4375,521.0
Wide Receiver,2014,6,80,uniform,l2,571.85,549.0
Wide Receiver,2014,7,80,uniform,l2,543.3125,443.0
Wide Receiver,2014,8,80,uniform,l2,537.5,493.0
Wide Receiver,2014,9,80,uniform,l2,435.875,406.0
Wide Receiver,2014,10,80,uniform,l2,470.6875,396.0
Wide Receiver,2014,2,90,uniform,l2,504.13333333,460.0
Wide Receiver,2014,3,90,uniform,l2,511.73333333,505.0
Wide Receiver,2014,4,90,uniform,l2,327.2,384.0
Wide Receiver,2014,5,90,uniform,l2,495.72222222,521.0
Wide Receiver,2014,6,90,uniform,l2,577.53333333,549.0
Wide Receiver,2014,7,90,uniform,l2,544.9,443.0
Wide Receiver,2014,8,90,uniform,l2,534.01111111,493.0
Wide Receiver,2014,9,90,uniform,l2,435.81111111,406.0
Wide Receiver,2014,10,90,uniform,l2,468.77777778,396.0
Wide Receiver,2014,2,100,uniform,l2,506.03,460.0
Wide Receiver,2014,3,100,uniform,l2,512.97,505.0
Wide Receiver,2014,4,100,uniform,l2,325.93,384.0
Wide Receiver,2014,5,100,uniform,l2,496.59,521.0
Wide Receiver,2014,6,100,uniform,l2,576.89,549.0
Wide Receiver,2014,7,100,uniform,l2,544.73,443.0
Wide Receiver,2014,8,100,uniform,l2,530.76,493.0
Wide Receiver,2014,9,100,uniform,l2,437.8,406.0
Wide Receiver,2014,10,100,uniform,l2,468.08,396.0
Wide Receiver,2014,2,110,uniform,l2,507.6,460.0
Wide Receiver,2014,3,110,uniform,l2,516.23636364,505.0
Wide Receiver,2014,4,110,uniform,l2,326.03636364,384.0
Wide Receiver,2014,5,110,uniform,l2,497.01818182,521.0
Wide Receiver,2014,6,110,uniform,l2,573.52727273,549.0
Wide Receiver,2014,7,110,uniform,l2,543.,443.0
Wide Receiver,2014,8,110,uniform,l2,530.09090909,493.0
Wide Receiver,2014,9,110,uniform,l2,436.85454545,406.0
Wide Receiver,2014,10,110,uniform,l2,468.09090909,396.0
Wide Receiver,2014,2,120,uniform,l2,508.95833333,460.0
Wide Receiver,2014,3,120,uniform,l2,517.075,505.0
Wide Receiver,2014,4,120,uniform,l2,326.05833333,384.0
Wide Receiver,2014,5,120,uniform,l2,494.81666667,521.0
Wide Receiver,2014,6,120,uniform,l2,573.95,549.0
